Tanggal,"Basis penginstalan (Semua perangkat, Perangkat unik, Per interval, Harian): Semua perangkat"
1 Jan 2020,2
2 Jan 2020,2
3 Jan 2020,2
4 Jan 2020,4
5 Jan 2020,4
6 Jan 2020,4
7 Jan 2020,4
8 Jan 2020,6
9 Jan 2020,6
10 Jan 2020,7
11 Jan 2020,7
12 Jan 2020,5
13 Jan 2020,5
14 Jan 2020,5
15 Jan 2020,5
16 Jan 2020,5
17 Jan 2020,5
18 Jan 2020,4
19 Jan 2020,4
20 Jan 2020,4
21 Jan 2020,7
22 Jan 2020,5
23 Jan 2020,6
24 Jan 2020,6
25 Jan 2020,6
26 Jan 2020,8
27 Jan 2020,7
28 Jan 2020,7
29 Jan 2020,7
30 Jan 2020,6
31 Jan 2020,6
1 Feb 2020,6
2 Feb 2020,6
3 Feb 2020,7
4 Feb 2020,8
5 Feb 2020,8
6 Feb 2020,9
7 Feb 2020,8
8 Feb 2020,9
9 Feb 2020,9
10 Feb 2020,9
11 Feb 2020,11
12 Feb 2020,10
13 Feb 2020,12
14 Feb 2020,13
15 Feb 2020,13
16 Feb 2020,15
17 Feb 2020,13
18 Feb 2020,12
19 Feb 2020,11
20 Feb 2020,13
21 Feb 2020,13
22 Feb 2020,13
23 Feb 2020,14
24 Feb 2020,10
25 Feb 2020,11
26 Feb 2020,10
27 Feb 2020,9
28 Feb 2020,12
29 Feb 2020,12
1 Mar 2020,12
2 Mar 2020,13
3 Mar 2020,13
4 Mar 2020,13
5 Mar 2020,13
6 Mar 2020,14
7 Mar 2020,14
8 Mar 2020,13
9 Mar 2020,14
10 Mar 2020,14
11 Mar 2020,15
12 Mar 2020,17
13 Mar 2020,18
14 Mar 2020,17
15 Mar 2020,17
16 Mar 2020,17
17 Mar 2020,18
18 Mar 2020,15
19 Mar 2020,18
20 Mar 2020,17
21 Mar 2020,16
22 Mar 2020,20
23 Mar 2020,23
24 Mar 2020,22
25 Mar 2020,23
26 Mar 2020,21
27 Mar 2020,23
28 Mar 2020,26
29 Mar 2020,25
30 Mar 2020,29
31 Mar 2020,27
1 Apr 2020,26
2 Apr 2020,24
3 Apr 2020,26
4 Apr 2020,24
5 Apr 2020,23
6 Apr 2020,23
7 Apr 2020,21
8 Apr 2020,23
9 Apr 2020,24
10 Apr 2020,24
11 Apr 2020,24
12 Apr 2020,26
13 Apr 2020,26
14 Apr 2020,26
15 Apr 2020,30
16 Apr 2020,34
17 Apr 2020,33
18 Apr 2020,30
19 Apr 2020,31
20 Apr 2020,31
21 Apr 2020,33
22 Apr 2020,33
